#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2026,Crédito Definitivo 2026,Obligado
022203,1722,16000,,Seguridad social a cargo del ayuntamiento,209602.0,209602.0,56582.46
022203,1722,16500,,Cuotas elkarkidetza a cargo ayuntamiento,10556.0,10556.0,2171.25
022204,1711,12000,,Retribuciones basicas de funcionarios,71730.0,71730.0,13928.46
022204,1711,12100,,Retribuciones complementarias funcionarios,89686.0,89686.0,20879.95
022204,1711,12105,,Retribuciones consecuc.objetivos,2361.0,2361.0,0.0
022204,1711,13000,,Retribuciones personal laboral fijo,107572.0,107572.0,24489.58
022204,1711,13001,,Retribuciones consecuc.objetivos,1403.0,1403.0,0.0
022204,1711,14100,,Otro personal,52254.0,52254.0,12797.42
022204,1711,14101,,Retribuciones al personal de sustituciones,532.0,532.0,0.0
022204,1711,16000,,Seguridad social a cargo del ayuntamiento,95599.0,95599.0,24000.36
022204,1711,16500,,Cuotas elkarkidetza a cargo ayuntamiento,4684.0,4684.0,855.58
022204,1711,21073,,Conservacion arboreto,146250.0,146250.0,1432.75
022204,1711,21074,,Trabajos de conservacion anillo verde exterior,559464.0,559464.0,74848.62
022204,1711,21074,A,Trabajos de conservacion anillo verde exterior,0.0,16915.8,16915.8
022204,1711,21075,,Asistencia tecnica cierre anillo verde larragorri,70000.0,70000.0,0.0
022204,1711,22663,,Canon demanial arkaute-elorriaga,70000.0,70000.0,0.0
022204,1711,22699,,Estrategia de economía circular,25000.0,25000.0,0.0
022204,1711,48197,,Convenio euskal herriko unibertsitatea unicities,10000.0,10000.0,0.0
022204,1711,48197,R,Convenio ehu unicities,0.0,2000.0,0.0
022204,1711,60916,,Agenda local (urbana) 2030,50000.0,50000.0,0.0
022204,1711,64300,,Auditorias energeticas,80000.0,80000.0,0.0
022204,1711,64305,,Plan de acción clima energía sostenible,20000.0,20000.0,0.0
022204,1711,64306,,Instalación placas fotovoltaicas (garantia total),100000.0,100000.0,302.66
